treatment,time,variable,mean,errorstandar
C,0h,DIN,0.3363180135,0.1623576195
C,0h,DOC,89.209870885,0.8531687149999954
C,0h,DON,6.533130034,0.08294518299999963
C,0h,NH4,0.261705688,0.160583389
C,0h,NO3,0.046856773500000004,0.001723726499999998
C,0h,NP,5.1203567495,2.8127592645
C,0h,PO4,0.06912296500000001,0.006262969999999999
C,0h,SiO4H4,1.1260407030000001,0.014928592000000072
C,0h,ab,3353724.7333333334,49899.281301448704
C,0h,chla,1.6137199636666666,0.34545491600308703
C,24h,DIN,0.3235658035,0.23620231949999995
C,24h,DOC,87.202365265,2.657245705000001
C,24h,DON,6.040732995,0.13730553799999964
C,24h,NH4,0.25469202550000003,0.23104947150000002
C,24h,NO3,0.06580939,0.002088461
C,24h,NP,3.9100981675,2.6807850735
C,24h,PO4,0.0779987895,0.006931879500000001
C,24h,SiO4H4,0.9814355160000001,0.05843492700000002
C,24h,ab,2386825.8333333335,46063.93842437314
C,24h,chla,1.0068347503333333,0.06054072414455283
C,48h,DIN,0.7508872895,0.05343276749999998
C,48h,DOC,124.61551995,16.81857275
C,48h,DON,7.661698594500001,0.20049717450000015
C,48h,NH4,0.635781316,0.056975765999999976
C,48h,NO3,0.11327607549999999,0.0017131005000000016
C,48h,NP,21.27470503,5.972234750000001
C,48h,PO4,0.039079494,0.013481957999999999
C,48h,SiO4H4,0.5742405355,0.1214674165
C,48h,ab,1165294.5333333334,38486.915635504534
C,48h,chla,0.9377434036666666,0.1015421200511954
C,72h,DIN,1.169227641,0.8761136930000001
C,72h,DOC,107.71952830000001,4.2995162000000064
C,72h,DON,7.259807146,0.18834393199999996
C,72h,NH4,1.0971458840000001,0.8779641629999999
C,72h,NO3,0.027046121,0.002387691000000001
C,72h,NP,24.5816051335,20.404495446499997
C,72h,PO4,0.057818774,0.012352700999999997
C,72h,SiO4H4,1.038552355,0.08472082100000004
C,72h,ab,580134.5,9341.586606852892
C,72h,chla,0.6855281903333333,0.0825578802194092
R,0h,DIN,3.076897441,0.2765069529999999
R,0h,DOC,92.248007695,0.8409838449999967
R,0h,DON,6.0012454065,0.7040900995000001
R,0h,NH4,0.5891292135,0.2926451615
R,0h,NO3,2.462596594,0.009652969000000011
R,0h,NP,44.020919164999995,5.419092334999998
R,0h,PO4,0.07018664299999999,0.0023589000000000036
R,0h,SiO4H4,13.55874075,0.2842943099999999
R,0h,ab,2935948.033333333,22612.577135326956
R,0h,chla,1.424530017,0.08055774403868407
R,24h,DIN,0.25002874750000004,0.0037760795000000014
R,24h,DOC,84.135883975,3.3292378350000003
R,24h,DON,5.985316404000001,0.2822489269999999
R,24h,NH4,0.0214922795,0.0085141045
R,24h,NO3,0.210070459,0.012095162000000007
R,24h,NP,3.6859305705,0.23549634449999998
R,24h,PO4,0.06804558599999999,0.0033230160000000046
R,24h,SiO4H4,7.680315059,0.013701272000000042
R,24h,ab,1666980.7,16988.642745179328
R,24h,chla,2.3525098036666665,0.0197449494025699
R,48h,DIN,0.36462972699999996,0.066076151
R,48h,DOC,99.03678374,2.627216959999998
R,48h,DON,7.1597153895000005,0.20897599649999998
R,48h,NH4,0.2314724135,0.0781099205
R,48h,NO3,0.1177670555,0.009309530499999994
R,48h,NP,7.089787119,1.470462823
R,48h,PO4,0.051722219,0.0014075809999999978
R,48h,SiO4H4,1.124085469,0.11968198100000003
R,48h,ab,463309,9198.984712999581
R,48h,chla,1.366559817,0.15602690492796084
R,72h,DIN,1.1710586885,0.45730429549999996
R,72h,DOC,89.067525265,3.8436188950000054
R,72h,DON,5.445512587,0.362723103
R,72h,NH4,1.0859791030000001,0.429276919
R,72h,NO3,0.027389063499999998,0.023142716499999997
R,72h,NP,16.7498758205,7.064935039500001
R,72h,PO4,0.07103670200000001,0.002660639999999999
R,72h,SiO4H4,0.723842102,0.03717158799999998
R,72h,ab,440379.5,7856.9291923329265
R,72h,chla,0.873495137,0.00833427017295055
R+P,0h,DIN,2.9661333005,0.21032767849999986
R+P,0h,DOC,98.67444961000001,3.6550363899999994
R+P,0h,DON,7.2309005915,0.5430331024999998
R+P,0h,NH4,0.37571889599999997,0.201343609
R+P,0h,NO3,2.570307079,0.0018845769999999982
R+P,0h,NP,1.904998251,0.13991205400000006
R+P,0h,PO4,1.5573182465,0.003968463500000019
R+P,0h,SiO4H4,13.96950676,0.047171860000000614
R+P,0h,ab,2923307.566666667,34452.085264723486
R+P,0h,chla,0.8795286036666667,0.08742855032132038
R+P,24h,DIN,2.426478989,1.4000742839999998
R+P,24h,DOC,104.86664336999999,14.419557829999993
R+P,24h,DON,7.722494231500001,2.5473852785000006
R+P,24h,NH4,0.7737908605,1.394999999959623e-7
R+P,24h,NO3,0.2891373775,0.04604926849999999
R+P,24h,NP,2.592637017,1.564443718
R+P,24h,PO4,0.9593754685,0.03888498049999999
R+P,24h,SiO4H4,8.7610801005,0.7954073865
R+P,24h,ab,1808349.0333333334,32562.945248924312
R+P,24h,chla,2.280874617,0.16835387347342068
R+P,48h,DIN,0.395778537,0.19318609199999998
R+P,48h,DOC,105.79406537,11.597927729999993
R+P,48h,DON,7.615865333,0.31346869599999966
R+P,48h,NH4,0.2873201045,0.18364855149999998
R+P,48h,NO3,0.0828488895,0.0161052845
R+P,48h,NP,0.7214154075,0.37946093049999996
R+P,48h,PO4,0.5637253019999999,0.028729127999999993
R+P,48h,SiO4H4,1.6212345350000001,0.23078892000000006
R+P,48h,ab,783273.3333333334,33982.62853813859
R+P,48h,chla,1.113447737,0.15785981704228766
R+P,72h,DIN,1.3975987060000001,0.5522579440000001
R+P,72h,DOC,87.63784373,3.279246
R+P,72h,DON,5.043485989,0.24006250399999995
R+P,72h,NH4,1.2970583475,0.5303055824999999
R+P,72h,NO3,0.0534010485,0.015344852499999999
R+P,72h,NP,5.579564059,1.70182239
R+P,72h,PO4,0.242892334,0.02489411899999999
R+P,72h,SiO4H4,0.8433987030000001,0.20118377700000006
R+P,72h,ab,705643.7666666666,3699.048260176008
R+P,72h,chla,0.9994315236666667,0.03861166621278659
C,0h,BP,37.73229806,1.664128981
R,0h,BP,32.23297368,1.192460758
R+P,0h,BP,37.47426999,3.467812167
C,72h,BP,16.24536927,1.191072702
R,72h,BP,12.46521044,0.606343911
R+P,72h,BP,19.07047289,1.803669588
C,0h,PP,9.592692762,1.8274497730000001
R,0h,PP,10.63690441,1.19761232
R+P,0h,PP,10.68546366,1.761613103
C,72h,PP,4.04604498,0.560191874
R,72h,PP,8.144652817,0.609648051
R+P,72h,PP,7.070161366,0.911042599
