domain,sample,Workpackage,treatment,time,replic,treatment_time,NMDS1,NMDS2
Prokaryotes,WP2_C_0h_R1,WP2,C,0h,R1,Control 0h,-0.4143353975446479,-0.11735393523237697
Prokaryotes,WP2_C_0h_R2,WP2,C,0h,R2,Control 0h,-0.43519663211973825,-0.06745061368363464
Prokaryotes,WP2_C_0h_R3,WP2,C,0h,R3,Control 0h,-0.36296611555966507,-0.022026265751820765
Prokaryotes,WP2_R_0h_R1,WP2,R,0h,R1,River 0h,-0.5040508162836114,0.10852500218582828
Prokaryotes,WP2_R_0h_R2,WP2,R,0h,R2,River 0h,-0.42166948797343906,0.04589354648901871
Prokaryotes,WP2_R_0h_R3,WP2,R,0h,R3,River 0h,-0.4071625908888511,0.14611099878098807
Prokaryotes,WP2_R+P_0h_R1,WP2,R+P,0h,R1,River+P 0h,-0.6190661863140832,-0.09063261721551052
Prokaryotes,WP2_R+P_0h_R2,WP2,R+P,0h,R2,River+P 0h,-0.5728047489764692,0.028802816743344353
Prokaryotes,WP2_R+P_0h_R3,WP2,R+P,0h,R3,River+P 0h,-0.5567914180859079,-0.03930687701713649
Prokaryotes,WP2_C_72h_R1,WP2,C,72h,R1,Control 72h,0.4710970521249904,-0.456181537905949
Prokaryotes,WP2_C_72h_R2,WP2,C,72h,R2,Control 72h,0.4849521819861694,-0.5670125115236196
Prokaryotes,WP2_C_72h_R3,WP2,C,72h,R3,Control 72h,0.4365668523560898,-0.34170020121805655
Prokaryotes,WP2_R_72h_R1,WP2,R,72h,R1,River 72h,0.41791817758861727,0.3377195258407959
Prokaryotes,WP2_R_72h_R2,WP2,R,72h,R2,River 72h,0.40371390204955143,0.47242483348280534
Prokaryotes,WP2_R_72h_R3,WP2,R,72h,R3,River 72h,0.5194889849765547,0.2841265227582512
Prokaryotes,WP2_R+P_72h_R1,WP2,R+P,72h,R1,River+P 72h,0.5067916522981074,0.10904642993784716
Prokaryotes,WP2_R+P_72h_R2,WP2,R+P,72h,R2,River+P 72h,0.49576718893977473,0.062340057558843004
Prokaryotes,WP2_R+P_72h_R3,WP2,R+P,72h,R3,River+P 72h,0.5577474014265581,0.10667482577038273
Eukaryotes,WP2_C_0h_R1,WP2,C,0h,R1,Control 0h,-0.11918795381221435,-0.3784765372563108
Eukaryotes,WP2_C_0h_R2,WP2,C,0h,R2,Control 0h,-0.36292903824729494,-0.22454205461779128
Eukaryotes,WP2_C_0h_R3,WP2,C,0h,R3,Control 0h,-0.26484450523466746,-0.1278904786781489
Eukaryotes,WP2_R_0h_R1,WP2,R,0h,R1,River 0h,-0.7834159867971326,0.1294407266183006
Eukaryotes,WP2_R_0h_R2,WP2,R,0h,R2,River 0h,-0.632405017440484,-0.0600343988682851
Eukaryotes,WP2_R_0h_R3,WP2,R,0h,R3,River 0h,-0.660671037253357,-0.011929614233834448
Eukaryotes,WP2_R+P_0h_R1,WP2,R+P,0h,R1,River+P 0h,-0.6241288418061568,-0.16338304299415318
Eukaryotes,WP2_R+P_0h_R2,WP2,R+P,0h,R2,River+P 0h,-0.7342005037017594,0.027975466011021383
Eukaryotes,WP2_C_72h_R1,WP2,C,72h,R1,Control 72h,0.674873680146761,-0.4835523674987396
Eukaryotes,WP2_C_72h_R2,WP2,C,72h,R2,Control 72h,0.8403301615747768,-0.6676826760685586
Eukaryotes,WP2_C_72h_R3,WP2,C,72h,R3,Control 72h,0.46459695864749545,-0.37837911673756447
Eukaryotes,WP2_R_72h_R1,WP2,R,72h,R1,River 72h,0.05539748489690521,0.35561433483957106
Eukaryotes,WP2_R_72h_R2,WP2,R,72h,R2,River 72h,0.021306850436926393,0.4364592208175384
Eukaryotes,WP2_R_72h_R3,WP2,R,72h,R3,River 72h,0.45261888232704955,0.17384555457780443
Eukaryotes,WP2_R+P_72h_R1,WP2,R+P,72h,R1,River+P 72h,0.6193769701398346,0.49953404875999186
Eukaryotes,WP2_R+P_72h_R2,WP2,R+P,72h,R2,River+P 72h,0.5374926217890043,0.4371050010638051
Eukaryotes,WP2_R+P_72h_R3,WP2,R+P,72h,R3,River+P 72h,0.5157892743343132,0.43589593426535356
