domain,Workpackage,treatment,time,Final_Taxonomy,tpm
Prokaryotes,WP2,C,0h,Actinobacteriota,13391.866445554577
Prokaryotes,WP2,C,0h,Alphaproteobacteria,36835.06780658464
Prokaryotes,WP2,C,0h,Archaea,27489.319134048692
Prokaryotes,WP2,C,0h,Bacteroidota,40808.51301703242
Prokaryotes,WP2,C,0h,Beggiatoales,137.5768463800416
Prokaryotes,WP2,C,0h,Burkholderiales,25116.811368975057
Prokaryotes,WP2,C,0h,Cyanobacteria,47231.84297467479
Prokaryotes,WP2,C,0h,Enterobacterales,61247.95799624546
Prokaryotes,WP2,C,0h,Firmicutes,13476.348752537822
Prokaryotes,WP2,C,0h,Flavobacteriales,144637.83727125992
Prokaryotes,WP2,C,0h,Gammaproteobacteria,14238.549422666729
Prokaryotes,WP2,C,0h,Other prokaryotes,77175.43085894315
Prokaryotes,WP2,C,0h,Planctomycetota,48742.494832585246
Prokaryotes,WP2,C,0h,Pseudomonadales,181158.02141468725
Prokaryotes,WP2,C,0h,Puniceispirillales,16237.514762745996
Prokaryotes,WP2,C,0h,Rhizobiales,7243.984144808371
Prokaryotes,WP2,C,0h,Rhodobacterales,243152.38736595568
Prokaryotes,WP2,C,0h,SAR86,35327.179343388714
Prokaryotes,WP2,C,72h,Actinobacteriota,15284.357025858953
Prokaryotes,WP2,C,72h,Alphaproteobacteria,35175.101707080285
Prokaryotes,WP2,C,72h,Archaea,22259.155399985808
Prokaryotes,WP2,C,72h,Bacteroidota,79988.27212653054
Prokaryotes,WP2,C,72h,Beggiatoales,1031.9615386510459
Prokaryotes,WP2,C,72h,Burkholderiales,22571.683877948082
Prokaryotes,WP2,C,72h,Cyanobacteria,39605.54856152595
Prokaryotes,WP2,C,72h,Enterobacterales,53705.71182279085
Prokaryotes,WP2,C,72h,Firmicutes,17049.205822830016
Prokaryotes,WP2,C,72h,Flavobacteriales,150091.11157212325
Prokaryotes,WP2,C,72h,Gammaproteobacteria,13392.315448217985
Prokaryotes,WP2,C,72h,Other prokaryotes,97704.42103085472
Prokaryotes,WP2,C,72h,Planctomycetota,168508.81497023322
Prokaryotes,WP2,C,72h,Pseudomonadales,187968.98371951346
Prokaryotes,WP2,C,72h,Puniceispirillales,19683.418843106876
Prokaryotes,WP2,C,72h,Rhizobiales,12556.548146979116
Prokaryotes,WP2,C,72h,Rhodobacterales,90021.51843552114
Prokaryotes,WP2,C,72h,SAR86,30279.350144547876
Prokaryotes,WP2,R,0h,Actinobacteriota,15818.308185443293
Prokaryotes,WP2,R,0h,Alphaproteobacteria,37080.623033360134
Prokaryotes,WP2,R,0h,Archaea,27897.973501223063
Prokaryotes,WP2,R,0h,Bacteroidota,33059.92943511721
Prokaryotes,WP2,R,0h,Beggiatoales,267.1425510622196
Prokaryotes,WP2,R,0h,Burkholderiales,36112.304053439286
