Workpackage,treatment,time,Category,Subcategory,Domain,Final_Taxonomy,tpm
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Eukaryotes,Dinoflagellata,0.7485478632143299
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Eukaryotes,Gonyaulacales,6.02026553054162
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Eukaryotes,Gymnodiniales,2.8426628009075436
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Eukaryotes,Peridiniales,0.8939396863364559
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Eukaryotes,Suessiales,0.45566230204524755
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Eukaryotes,Stramenopiles,0.20390047276393694
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Eukaryotes,Ochrophyta,5.5648438720818465
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Eukaryotes,Bacillariophyta,13.84276542677749
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Eukaryotes,Chlorophyta,3.139959897301203
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Eukaryotes,Hacrobia,0.9936545278329704
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Eukaryotes,Rhizaria,0.15203451469249524
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Eukaryotes,Other eukaryotes,1.270421383562398
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Prokaryotes,Alphaproteobacteria,71.0990562138169
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Prokaryotes,Rhodobacterales,1052.4056557474
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Prokaryotes,Puniceispirillales,25.595094178541373
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Prokaryotes,Rhizobiales,3.8396418456702035
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Prokaryotes,Gammaproteobacteria,23.19863882502821
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Prokaryotes,Burkholderiales,3.7918884435411764
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Prokaryotes,Enterobacterales,1581.2150514885957
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Prokaryotes,Pseudomonadales,1038.2448365727676
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Prokaryotes,SAR86,381.5336364580389
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Prokaryotes,Flavobacteriales,10.535326293206394
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Prokaryotes,Actinobacteriota,0.4951489121146806
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Prokaryotes,Archaea,12.730986580521703
WP2,C,0h,Phosphorus metabolism,High affinity transporters,Prokaryotes,Other prokaryotes,5.836664705485509
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Spirotrichea,0.7201265579217955
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Choreotrichida,5.746253533157155
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Tintinnida,0.4719102489058642
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Dinoflagellata,27.315694588201747
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Gonyaulacales,18.757437081477867
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Gymnodiniales,15.620762851448948
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Peridiniales,57.12567558875338
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Suessiales,8.247652821307224
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Symbiodinium,0.355104651010136
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Stramenopiles,147.62332151279017
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Ochrophyta,18.72904908500872
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Bacillariophyta,2639.152385346037
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Thalassiosira,587.261507596148
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Chaetoceros,289.58707383665745
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Skeletonema,78.46097189877685
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Pseudo-nitzschia,23.21317386673814
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Chlorophyta,772.8414204934788
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Amoebozoa,16.053465298845847
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Hacrobia,25.375643467389423
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Rhizaria,6.934004050168221
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Eukaryotes,Other eukaryotes,4.991640568753807
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Prokaryotes,Alphaproteobacteria,1.118659051200582
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Prokaryotes,Rhodobacterales,75.1258442894235
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Prokaryotes,Puniceispirillales,7.5733407378299695
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Prokaryotes,Rhizobiales,0.8933980615246415
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Prokaryotes,Gammaproteobacteria,103.49848712959164
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Prokaryotes,Burkholderiales,0.5089998207367001
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Prokaryotes,Enterobacterales,8.876341230496669
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Prokaryotes,Pseudomonadales,189.38693953624403
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Prokaryotes,SAR86,470.6070187435955
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Prokaryotes,Flavobacteriales,19.41276785696639
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Prokaryotes,Cyanobacteria,1.2052579381469763
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Prokaryotes,Planctomycetota,20.849098417009
WP2,C,0h,Phosphorus metabolism,Low affinity transporters,Prokaryotes,Other prokaryotes,324.8603511096065
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Spirotrichea,8.943220960977289
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Choreotrichida,0.22249234828602932
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Tintinnida,0.20140946342504848
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Dinoflagellata,99.39043756922719
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Gonyaulacales,27.550471326471378
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Alexandrium,0.1440253115843591
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Gymnodiniales,30.97620790515445
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Peridiniales,6.8794821628240275
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Suessiales,4.322538529516027
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Stramenopiles,3.5529545628947474
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Ochrophyta,66.34492266534049
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Bacillariophyta,354.8880218630114
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Thalassiosira,4.1626240531363585
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Chaetoceros,0.2880506231687182
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Skeletonema,0.5423680824993983
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Pseudo-nitzschia,0.30255543716981087
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Glaucophyta,0.20140946342504848
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Chlorophyta,4.8553659774356595
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Amoebozoa,7.25234835290996
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Hacrobia,35.82924553793611
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Rhizaria,13.51620021953972
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Eukaryotes,Other eukaryotes,10.582326540045388
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Prokaryotes,Alphaproteobacteria,3.638742254533376
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Prokaryotes,Rhodobacterales,27.036202272126026
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Prokaryotes,Puniceispirillales,0.5914198323430963
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Prokaryotes,Rhizobiales,1.224890294714428
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Prokaryotes,Gammaproteobacteria,2.450330756060519
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Prokaryotes,Enterobacterales,28.323640423446367
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Prokaryotes,Pseudomonadales,136.29303373081132
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Prokaryotes,SAR86,2.5617146050434934
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Prokaryotes,Bacteroidota,2.7017696662197057
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Prokaryotes,Flavobacteriales,12.126506368902104
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Prokaryotes,Cyanobacteria,0.3441597975239079
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Prokaryotes,Actinobacteriota,0.30197822918154543
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Prokaryotes,Archaea,10.104279318732683
WP2,C,0h,Phosphorus metabolism,Organic P hydrolysis,Prokaryotes,Other prokaryotes,8.178109239452978
WP2,C,0h,Phosphorus metabolism,P starvation response,Eukaryotes,Spirotrichea,0.1440253115843591
WP2,C,0h,Phosphorus metabolism,P starvation response,Eukaryotes,Dinoflagellata,0.7902077701935725
