Workpackage,treatment,time,Subcategory,Domain,SubCat_mean,Total_P_mean,Proportion
WP2,C,0h,"High affinity
transporters",Eukaryotes,35.90880401978781,8248.380351952184,0.4353436976422783
WP2,C,0h,"High affinity
transporters",Prokaryotes,4210.356576627357,7285.828078596534,57.788305340281866
WP2,C,0h,"Low affinity
transporters",Eukaryotes,4744.104190571029,8248.380351952184,57.51558473474394
WP2,C,0h,"Low affinity
transporters",Prokaryotes,1223.6187045685306,7285.828078596534,16.79450422613095
WP2,C,0h,"Organic P
hydrolysis",Eukaryotes,680.2912305691865,8248.380351952184,8.24757348160089
WP2,C,0h,"Organic P
hydrolysis",Prokaryotes,235.24887816050688,7285.828078596534,3.2288557405244562
WP2,C,0h,"P starvation
response",Eukaryotes,92.11206338567006,8248.380351952184,1.116729096565842
WP2,C,0h,"P starvation
response",Prokaryotes,1188.8652941685295,7285.828078596534,16.31750408249463
WP2,C,0h,"Phosphonate
metabolism",Eukaryotes,102.16653051149837,8248.380351952184,1.2386253561563527
WP2,C,0h,"Phosphonate
metabolism",Prokaryotes,81.40990394061383,7285.828078596534,1.1173733865580833
WP2,C,0h,"Pi
mobilization",Eukaryotes,2593.7975328950124,8248.380351952184,31.446143633290696
WP2,C,0h,"Pi
mobilization",Prokaryotes,346.3287211309975,7285.828078596534,4.753457224010021
WP2,C,72h,"High affinity
transporters",Eukaryotes,39.572776473621026,4072.6106340298575,0.971680821705847
WP2,C,72h,"High affinity
transporters",Prokaryotes,1506.219790715712,2965.1062335917213,50.798172883377035
WP2,C,72h,"Low affinity
transporters",Eukaryotes,1248.1241177170814,4072.6106340298575,30.646782368243723
WP2,C,72h,"Low affinity
transporters",Prokaryotes,337.6970899459874,2965.1062335917213,11.389038480989765
WP2,C,72h,"Organic P
hydrolysis",Eukaryotes,744.9960191965498,4072.6106340298575,18.292836859274576
WP2,C,72h,"Organic P
hydrolysis",Prokaryotes,179.05684020550171,2965.1062335917213,6.038800167662284
WP2,C,72h,"P starvation
response",Eukaryotes,15.75472767924036,4072.6106340298575,0.3868459102767461
WP2,C,72h,"P starvation
response",Prokaryotes,662.6771947208016,2965.1062335917213,22.349188950241455
WP2,C,72h,"Phosphonate
metabolism",Eukaryotes,149.79527015046517,4072.6106340298575,3.6781142026887657
WP2,C,72h,"Phosphonate
metabolism",Prokaryotes,46.81914829502042,2965.1062335917213,1.579004076299384
WP2,C,72h,"Pi
mobilization",Eukaryotes,1874.3677228128997,4072.6106340298575,46.02373983781034
WP2,C,72h,"Pi
mobilization",Prokaryotes,232.63616970869825,2965.1062335917213,7.845795441430075
WP2,R,0h,"High affinity
transporters",Eukaryotes,48.562327438141864,10919.395154748197,0.44473459152199457
WP2,R,0h,"High affinity
transporters",Prokaryotes,5562.898493013095,10799.160149086352,51.51232518284059
WP2,R,0h,"Low affinity
transporters",Eukaryotes,6966.196404936522,10919.395154748197,63.79654098246766
WP2,R,0h,"Low affinity
transporters",Prokaryotes,2166.6124548004736,10799.160149086352,20.062786595342573
WP2,R,0h,"Organic P
hydrolysis",Eukaryotes,993.0285653757329,10919.395154748197,9.09417189599484
WP2,R,0h,"Organic P
hydrolysis",Prokaryotes,666.389505358064,10799.160149086352,6.1707530600372005
WP2,R,0h,"P starvation
response",Eukaryotes,14.10949752448027,10919.395154748197,0.12921500984736214
WP2,R,0h,"P starvation
response",Prokaryotes,1635.9707322246736,10799.160149086352,15.149055200955445
WP2,R,0h,"Phosphonate
metabolism",Eukaryotes,61.62741103210694,10919.395154748197,0.5643848414562489
WP2,R,0h,"Phosphonate
metabolism",Prokaryotes,124.52017982008527,10799.160149086352,1.1530542940473028
WP2,R,0h,"Pi
mobilization",Eukaryotes,2835.8709484412125,10919.395154748197,25.970952678711885
WP2,R,0h,"Pi
mobilization",Prokaryotes,642.7687838699607,10799.160149086352,5.952025666776885
WP2,R,72h,"High affinity
transporters",Eukaryotes,28.41942350003535,5793.184167499696,0.4905665464507579
WP2,R,72h,"High affinity
transporters",Prokaryotes,2348.8824415101217,7720.1975755013045,30.42515970010779
WP2,R,72h,"Low affinity
transporters",Eukaryotes,3196.0808919732076,5793.184167499696,55.16967525223036
WP2,R,72h,"Low affinity
transporters",Prokaryotes,2989.3879565944817,7720.1975755013045,38.72165093391885
WP2,R,72h,"Organic P
hydrolysis",Eukaryotes,476.13967002297255,5793.184167499696,8.218963116935942
WP2,R,72h,"Organic P
hydrolysis",Prokaryotes,638.3984203285746,7720.1975755013045,8.269197958798623
WP2,R,72h,"P starvation
response",Eukaryotes,123.15319431600125,5793.184167499696,2.125829090794354
WP2,R,72h,"P starvation
response",Prokaryotes,718.9952806941777,7720.1975755013045,9.31317202264076
WP2,R,72h,"Phosphonate
metabolism",Eukaryotes,80.69962121986171,5793.184167499696,1.393009766072933
WP2,R,72h,"Phosphonate
metabolism",Prokaryotes,179.71553800489613,7720.1975755013045,2.327861900519126
WP2,R,72h,"Pi
mobilization",Eukaryotes,1888.6913664676172,5793.184167499696,32.601956227515636
WP2,R,72h,"Pi
mobilization",Prokaryotes,844.8179383690532,7720.1975755013045,10.942957484014853
WP2,R+P,0h,"High affinity
transporters",Eukaryotes,17.227596118472157,3440.711515427718,0.5006986503002585
WP2,R+P,0h,"High affinity
transporters",Prokaryotes,421.2603205438745,2049.6996535443323,20.552295055299098
WP2,R+P,0h,"Low affinity
transporters",Eukaryotes,198.00413523682732,3440.711515427718,5.754743876346554
WP2,R+P,0h,"Low affinity
transporters",Prokaryotes,228.30184353317213,2049.6996535443323,11.138307172877427
WP2,R+P,0h,"Organic P
hydrolysis",Eukaryotes,274.65840224187065,3440.711515427718,7.982604790036506
WP2,R+P,0h,"Organic P
hydrolysis",Prokaryotes,183.80139417728068,2049.6996535443323,8.967235461032159
WP2,R+P,0h,"P starvation
response",Eukaryotes,24.422987177905377,3440.711515427718,0.7098237404791355
WP2,R+P,0h,"P starvation
response",Prokaryotes,357.4819156896259,2049.6996535443323,17.44069747347957
WP2,R+P,0h,"Phosphonate
metabolism",Eukaryotes,73.63553021716062,3440.711515427718,2.140125084215522
WP2,R+P,0h,"Phosphonate
metabolism",Prokaryotes,98.2940275601363,2049.6996535443323,4.795533208495531
WP2,R+P,0h,"Pi
mobilization",Eukaryotes,2852.762864435482,3440.711515427718,82.91200385862201
WP2,R+P,0h,"Pi
mobilization",Prokaryotes,760.5601520402425,2049.6996535443323,37.1059316288162
WP2,R+P,72h,"High affinity
transporters",Eukaryotes,21.94807824203284,2450.0808144894354,0.8958103794876876
WP2,R+P,72h,"High affinity
transporters",Prokaryotes,384.2623437423137,1221.952742862754,31.446579745962637
WP2,R+P,72h,"Low affinity
transporters",Eukaryotes,300.52407447282604,2450.0808144894354,12.265884157598748
WP2,R+P,72h,"Low affinity
transporters",Prokaryotes,247.41268066127063,1221.952742862754,20.24731988257088
WP2,R+P,72h,"Organic P
hydrolysis",Eukaryotes,358.52104822349804,2450.0808144894354,14.633029494507067
WP2,R+P,72h,"Organic P
hydrolysis",Prokaryotes,74.48479524775448,1221.952742862754,6.095554487095282
WP2,R+P,72h,"P starvation
response",Eukaryotes,98.81189025363157,2450.0808144894354,4.033005346977612
WP2,R+P,72h,"P starvation
response",Prokaryotes,252.64810382273635,1221.952742862754,20.67576715207824
WP2,R+P,72h,"Phosphonate
metabolism",Eukaryotes,79.7594984721132,2450.0808144894354,3.255382353121851
WP2,R+P,72h,"Phosphonate
metabolism",Prokaryotes,28.964120394422146,1221.952742862754,2.370314282904745
WP2,R+P,72h,"Pi
mobilization",Eukaryotes,1590.5162248253337,2450.0808144894354,64.91688826830703
WP2,R+P,72h,"Pi
mobilization",Prokaryotes,234.1806989942565,1221.952742862754,19.164464449388202
